,,dist,offset,
0,0,"0' 0""",14.25,-0.28125
0,4,"0' 4""",14.25,-0.28125
0,8,"0' 8""",14.25,-0.28125
1,0,"1' 0""",14.25,-0.28125
1,4,"1' 4""",14.25,-0.28125
1,8,"1' 8""",14.25,-0.28125
2,0,"2' 0""",14.25,-0.28125
2,4,"2' 4""",14.25,-0.28125
2,8,"2' 8""",14.25,-0.28125
3,0,"3' 0""",14.21875,-0.3125
3,4,"3' 4""",14.21875,-0.3125
3,8,"3' 8""",14.21875,-0.3125
4,0,"4' 0""",14.25,-0.28125
4,4,"4' 4""",14.28125,-0.25
4,8,"4' 8""",14.34375,-0.1875
5,0,"5' 0""",14.375,-0.15625
5,4,"5' 4""",14.40625,-0.125
5,8,"5' 8""",14.4375,-0.09375
6,0,"6' 0""",14.46875,-0.0625
6,4,"6' 4""",14.46875,-0.0625
6,8,"6' 8""",14.5,-0.03125
7,0,"7' 0""",14.53125,0
